is_special_event,special_event_name,mean,median,count,baseline_mean,baseline_count,uplift_pct,interpretation
1,American Royal BBQ,69.7,66.5,40,41.49716194923781,52677,67.9632936952697,descriptive_association_not_causal
1,Ann Arbor Art Fair,77.9,76.5,30,41.49716194923781,52677,87.72368118883085,descriptive_association_not_causal
1,Aquatennial Festival,95.8,95.0,30,41.49716194923781,52677,130.85916120526306,descriptive_association_not_causal
1,Balloon Glow Festival,71.73333333333333,71.5,30,41.49716194923781,52677,72.86322717944542,descriptive_association_not_causal
1,Bengals Home Game Weekend,52.0,49.0,30,41.49716194923781,52677,25.309774349412105,descriptive_association_not_causal
1,Brat Fest,52.833333333333336,49.5,30,41.49716194923781,52677,27.317943810139877,descriptive_association_not_causal
1,Brewers Playoff Games,55.3,54.0,30,41.49716194923781,52677,33.26212541389402,descriptive_association_not_causal
1,Cardinals Playoff Games,71.63333333333334,71.0,30,41.49716194923781,52677,72.6222468441581,descriptive_association_not_causal
1,Chicago Blues Festival,103.43333333333334,99.0,30,41.49716194923781,52677,149.25399346552933,descriptive_association_not_causal
1,Chiefs Home Game Weekend,56.2,58.0,30,41.49716194923781,52677,35.430948431480026,descriptive_association_not_causal
1,Cincinnati Flying Pig Marathon,56.3,55.5,30,41.49716194923781,52677,35.671928766767344,descriptive_association_not_causal
1,Cincinnati Music Festival,73.03333333333333,75.5,30,41.49716194923781,52677,75.99597153818071,descriptive_association_not_causal
1,Cleveland Air Show,44.5,46.5,30,41.49716194923781,52677,7.236249202862277,descriptive_association_not_causal
1,Cleveland Marathon Weekend,44.43333333333333,43.5,30,41.49716194923781,52677,7.0755956460040625,descriptive_association_not_causal
1,College World Series,57.3,54.5,110,41.49716194923781,52677,38.081732119640655,descriptive_association_not_causal
1,Columbus Arts Festival,51.56666666666667,49.0,30,41.49716194923781,52677,24.26552622983369,descriptive_association_not_causal
1,Cubs Home Opener Week,65.58333333333333,64.5,60,41.49716194923781,52677,58.04293655927455,descriptive_association_not_causal
